Atom_Index,Y_Position_px,X_Position_px,Distance_NN1_px,Distance_NN2_px,Distance_NN3_px,Mean_Distance_px,Mean_Distance_pm,Angle_to_NN2_deg,Angle_to_NN3_deg,Mean_Intensity,Element,File_ID
132,273.0,728.0,12.0416,12.083,12.53,12.2182,190.91,119.21,113.85,3.8622,1,5
133,367.0,249.0,11.6619,12.0416,12.083,11.9288,186.39,116.2,124.59,4.2909,1,5
134,798.0,154.0,12.0,12.2066,12.53,12.2455,191.34,124.99,118.61,4.6884,1,5
135,88.0,56.0,11.6619,12.2066,13.0,12.2895,192.02,114.04,120.96,3.9767,1,5
136,60.0,324.0,11.6619,12.083,13.0,12.2483,191.38,124.59,120.96,3.9984,3,5
137,657.0,642.0,12.0416,13.4164,18.2483,14.5688,227.64,111.8,147.83,4.3184,1,5
138,267.0,44.0,10.6301,11.0454,13.0384,11.5713,180.8,125.99,106.34,3.9286,3,5
139,996.0,112.0,12.0416,12.083,12.53,12.2182,190.91,119.21,113.85,5.0699,1,5
140,448.0,424.0,12.1655,12.53,12.8062,12.5006,195.32,128.07,119.2,4.0878,1,5
141,223.0,262.0,12.0416,12.2066,13.4164,12.5549,196.17,120.23,121.33,3.9994,3,5
142,204.0,291.0,11.4018,12.0416,12.083,11.8421,185.03,123.11,117.68,3.896,3,5
143,68.0,84.0,10.8167,12.0416,13.8924,12.2502,191.41,128.45,116.05,3.8846,1,5
144,168.0,1018.0,12.0,12.2066,20.025,14.7438,230.37,124.99,92.86,3.7571,3,5
145,552.0,99.0,11.6619,12.0416,12.2066,11.97,187.03,125.73,114.04,4.0167,3,5
146,77.0,355.0,11.6619,12.083,14.0357,12.5935,196.77,124.59,116.88,4.1005,3,5
147,947.0,20.0,11.1803,11.4018,12.0416,11.5412,180.33,115.56,121.33,4.6857,1,5
148,348.0,258.0,11.0,12.2066,12.53,11.9122,186.13,124.99,118.61,3.9816,3,5
149,138.0,914.0,12.083,12.2066,13.0384,12.4427,194.42,120.56,118.84,4.4587,1,5
150,143.0,9.0,9.2195,12.0416,13.0384,11.4332,178.64,144.16,98.13,3.8317,3,5
151,642.0,814.0,11.6619,12.0416,12.2066,11.97,187.03,116.2,114.04,3.7962,3,5
152,151.0,279.0,11.6619,12.53,13.0,12.3973,193.71,120.43,120.96,4.3228,1,5
153,187.0,260.0,11.1803,11.6619,13.0,11.9474,186.68,122.47,116.57,4.2107,3,5
154,551.0,139.0,11.1803,11.6619,12.0416,11.6279,181.69,122.47,121.33,4.1181,3,5
155,125.0,38.0,11.6619,11.6619,12.0416,11.7885,184.19,118.07,116.2,3.8118,3,5
156,441.0,213.0,11.4018,12.0,12.53,11.9772,187.14,127.88,113.51,4.1651,3,5
157,293.0,306.0,11.6619,11.6619,12.1655,11.8298,184.84,118.07,111.5,4.0088,1,5
158,88.0,508.0,11.6619,12.53,13.0384,12.4101,193.91,120.43,125.36,4.5868,1,5
159,1017.0,62.0,11.4018,13.0,19.0,14.4673,226.05,105.26,164.74,4.8047,1,5
160,756.0,385.0,13.0384,16.0312,16.7631,15.2776,238.71,53.95,130.17,3.6961,1,5
161,58.0,365.0,11.6619,12.083,12.1655,11.9702,187.03,124.59,130.43,4.0941,3,5
162,244.0,585.0,11.0454,11.4018,13.8924,12.1132,189.27,133.07,115.06,4.1139,3,5
163,697.0,416.0,12.0,12.2066,12.53,12.2455,191.34,124.99,118.61,3.7082,1,5
164,744.0,182.0,11.6619,12.083,13.0384,12.2611,191.58,124.59,116.57,4.1168,1,5
165,779.0,184.0,12.0,12.53,13.4164,12.6488,197.64,118.61,116.57,4.3504,1,5
166,225.0,969.0,12.0,12.083,12.083,12.0554,188.37,114.44,114.44,3.8991,3,5
167,678.0,426.0,12.2066,12.53,13.0,12.5788,196.54,116.4,124.99,3.7198,1,5
168,810.0,646.0,13.0384,13.4164,13.4164,13.2904,207.66,112.17,157.83,3.8178,1,5
169,827.0,93.0,9.2195,12.8062,13.4536,11.8265,184.79,141.19,119.46,5.3155,3,5
170,466.0,435.0,12.0,12.083,13.0384,12.3738,193.34,114.44,122.47,3.9373,1,5
171,88.0,487.0,11.6619,12.0,12.2066,11.9562,186.81,120.96,114.04,4.3145,3,5
172,227.0,162.0,11.1803,11.6619,12.0416,11.6279,181.69,122.47,121.33,3.8305,3,5
173,818.0,863.0,10.8167,13.0384,14.3178,12.7243,198.82,119.29,121.53,3.8489,3,5
174,307.0,750.0,11.6619,12.2066,13.0,12.2895,192.02,114.04,120.96,3.9596,3,5
175,785.0,801.0,12.2066,13.0,13.0384,12.7483,199.19,122.39,129.39,4.0376,1,5
176,208.0,958.0,10.8167,12.083,13.0,11.9666,186.98,121.87,123.69,3.8745,1,5
177,574.0,768.0,11.6619,12.0416,12.53,12.0778,188.72,125.73,120.43,3.9408,3,5
178,153.0,946.0,12.1655,12.2066,12.53,12.3007,192.2,115.53,128.07,4.0722,1,5
179,915.0,250.0,11.6619,12.1655,12.53,12.1191,189.36,130.43,120.43,4.3934,3,5
180,204.0,271.0,12.0416,12.2066,13.0384,12.4289,194.2,120.23,127.23,3.9927,1,5
181,51.0,55.0,11.6619,12.0416,12.2066,11.97,187.03,125.73,114.04,3.8955,1,5
182,52.0,15.0,11.4018,11.6619,13.0,12.0212,187.83,111.16,127.88,3.8632,3,5
183,935.0,220.0,12.0416,12.2066,13.0384,12.4289,194.2,120.23,127.23,4.7756,1,5
184,32.0,64.0,10.8167,12.0416,12.2066,11.6883,182.63,128.45,111.32,4.0076,3,5
185,132.0,268.0,12.0416,12.53,13.0384,12.5367,195.89,123.37,117.71,4.0933,1,5
186,38.0,394.0,11.6619,12.0416,12.2066,11.97,187.03,125.73,114.04,4.3832,3,5
187,791.0,409.0,15.8114,17.0,17.4642,16.7585,261.85,34.7,42.06,3.7214,1,5
188,522.0,737.0,11.4018,12.0,12.53,11.9772,187.14,127.88,113.51,3.8394,1,5
189,773.0,397.0,7.8102,16.0312,16.4924,13.4446,210.07,133.38,53.84,3.7981,3,5
190,695.0,458.0,12.0416,12.2066,12.53,12.2594,191.55,120.23,123.37,3.6998,3,5
191,348.0,985.0,11.6619,12.0,13.0384,12.2334,191.15,120.96,116.57,4.0883,3,5
192,778.0,943.0,12.0416,12.2066,12.53,12.2594,191.55,120.23,123.37,3.854,1,5
193,544.0,983.0,12.0,12.53,12.8062,12.4454,194.46,118.61,128.66,3.9227,1,5
194,49.0,94.0,11.4018,12.0416,12.53,11.9911,187.36,123.11,113.51,3.9999,3,5
195,710.0,120.0,11.6619,12.1655,12.2066,12.0113,187.68,130.43,114.04,4.2194,1,5
196,916.0,229.0,11.1803,12.2066,13.0384,12.1418,189.72,118.44,120.96,4.4324,3,5
197,213.0,71.0,12.2066,12.53,13.0,12.5788,196.54,116.4,124.99,3.7704,1,5
198,397.0,742.0,12.0416,12.2066,12.53,12.2594,191.55,120.23,123.37,3.813,1,5
199,484.0,447.0,12.53,13.0384,13.0384,12.8689,201.08,123.01,118.92,4.0581,1,5
200,274.0,687.0,11.0,12.53,12.8062,12.1121,189.25,118.61,128.66,4.0681,3,5
201,331.0,227.0,11.0454,12.53,12.8062,12.1272,189.49,123.8,123.47,3.7874,3,5
202,480.0,115.0,11.6619,11.6619,12.0,11.7746,183.98,118.07,120.96,3.9545,3,5
203,179.0,31.0,11.6619,12.0416,12.2066,11.97,187.03,125.73,114.04,3.6832,1,5
204,100.0,953.0,12.0416,12.083,12.2066,12.1104,189.22,119.21,120.23,4.2385,3,5
205,49.0,114.0,10.8167,11.6619,12.0,11.4929,179.58,115.35,123.69,3.9779,3,5
206,785.0,42.0,11.4018,12.0,12.53,11.9772,187.14,127.88,113.51,3.8916,1,5
207,244.0,193.0,11.4018,12.53,13.0384,12.3234,192.55,113.51,123.48,4.021,1,5
208,573.0,790.0,11.0,12.083,13.0384,12.0405,188.13,114.44,122.47,3.815,3,5
209,591.0,801.0,12.083,12.53,13.0,12.5377,195.9,126.95,114.44,3.7408,1,5
210,30.0,103.0,12.0,12.2066,13.0384,12.415,193.98,124.99,122.47,4.0874,3,5
211,65.0,931.0,11.0454,11.1803,12.8062,11.6773,182.46,121.76,123.47,3.9923,3,5
212,16.0,857.0,11.0454,11.1803,13.0384,11.7547,183.67,121.76,117.28,3.648,3,5
213,744.0,161.0,12.0,12.2066,12.53,12.2455,191.34,124.99,118.61,3.9718,1,5
214,735.0,685.0,11.0454,12.0416,13.0384,12.0418,188.15,136.83,117.28,3.7928,1,5
215,180.0,10.0,9.2195,12.0,12.53,11.2498,175.78,130.6,110.79,3.5427,3,5
216,14.0,897.0,10.0499,11.4018,12.083,11.1782,174.66,122.16,120.15,3.8196,3,5
217,186.0,280.0,11.6619,11.6619,12.0,11.7746,183.98,118.07,120.96,3.7753,3,5
218,951.0,678.0,12.0,12.2066,12.53,12.2455,191.34,124.99,118.61,4.062,1,5
219,818.0,843.0,11.4018,12.0416,12.53,11.9911,187.36,123.11,113.51,4.0958,3,5
220,304.0,27.0,11.0454,12.2066,12.2066,11.8195,184.68,119.8,130.19,3.8299,1,5
221,793.0,635.0,12.3693,12.6491,13.0384,12.6856,198.21,85.6,170.36,3.7314,1,5
222,278.0,941.0,11.0454,13.0384,13.0384,12.3741,193.34,127.67,117.28,3.8851,3,5
223,520.0,778.0,11.6619,12.0416,13.0384,12.2473,191.36,125.73,116.57,3.6639,1,5
224,150.0,299.0,11.1803,12.0416,12.2066,11.8095,184.52,121.33,118.44,4.1468,3,5
225,639.0,875.0,11.6619,12.0416,12.2066,11.97,187.03,125.73,114.04,3.9073,1,5
226,465.0,65.0,10.8167,12.083,13.0384,11.9794,187.18,121.87,119.29,4.0259,3,5
227,643.0,403.0,12.083,13.0384,13.4164,12.846,200.72,118.84,128.99,3.5771,3,5
228,138.0,148.0,11.6619,12.53,13.0384,12.4101,193.91,120.43,116.57,3.8744,3,5
229,381.0,341.0,11.0,12.2066,13.0384,12.0817,188.78,124.99,122.47,4.1206,3,5
230,617.0,241.0,12.0416,12.2066,13.0,12.4161,194.0,120.23,117.38,3.8515,1,5
231,490.0,284.0,11.6619,12.0416,12.53,12.0778,188.72,125.73,120.43,3.7029,3,5
232,170.0,977.0,11.6619,12.2066,13.0384,12.3023,192.22,114.04,125.36,3.9825,3,5
233,123.0,78.0,11.4018,11.6619,12.0416,11.7018,182.84,111.16,123.11,3.8448,3,5
